shoe_id,name,brand,player,release_date,description,shoe_type,retail_price
335,Nike KD 9 Elite,Nike,Kevin Durant,2017-03-01,Works best for players with narrow feet looking for soft cushioning,High Top,149.99
336,Jordan Ultra Fly 2,Jordan,,2017-03-01,Perfect for players with narrow feet who like to ball outdoors.,High Top,124.99
337,Under Armour Charged Controller,Under Armour,,2017-02-01,Low-cut basketball shoe designed for quick guards,Low Top,99.99
338,Jordan Melo M13,Jordan,Carmelo Anthony,2017-02-01,Stationary post up players will like the comfortable cushioning,Mid Top,134.99
339,Nike Lebron 14,Nike,Lebron James,2017-01-01,"Best for bigger, heavier players with wide feet",High Top,174.99
340,Nike Zoom Rev 17,Nike,,2017-01-01,Works best if you don't play on dusty courts,Mid Top,109.99
341,Nike Zoom Live 2017,Nike,,2017-01-01,Affordable low-top that works best for guards,Low Top,99.99
342,Nike Mamba Instinct,Nike,Kobe Bryant,2017-01-01,Meant for quick guards who want a light shoe,Low Top,99.99
343,Nike Kyrie 3,Nike,Kyrie Irving,2016-12-01,Good choice for light and quick guards who value court feel over impact protection,Mid Top,119.99
344,Adidas Harden Volume 1,Adidas,James Harden,2016-12-01,Great shoe for guards with wider feet,Low Top,139.99
345,Adidas Dame 3,Adidas,Damian Lillard,2016-12-01,Affordable performer for players with slightly wider feet,Mid Top,114.99
346,Nike Kobe AD,Nike,Kobe Bryant,2016-11-01,Best for guards who prefer firm cushioning setups,Low Top,159.99
347,ANTA KT 2,ANTA,Klay Thompson,2016-11-01,Well-performing allrounder at an affordable price,High Top,119.99
348,BrandBlack Rare Metal,BrandBlack,,2016-10-01,Perfect budget sneaker for guards with slightly wider feet.,Mid Top,109.99
349,Under Armour Curry 3,Under Armour,Stephen Curry,2016-10-01,Perfect shoe for light and quick guards,Mid Top,139.99
350,Air Jordan 31,Jordan,Michael Jordan,2016-09-01,Great shoe for Jordan fans with wider feet,Mid Top,184.99
351,Nike Zoom KD 9,Nike,Kevin Durant,2016-06-01,Perfect for players who need maximum impact protection and cushioning,Mid Top,149.99
