shoe_id,name,brand,player,release_date,description,shoe_type,retail_price
174,Under Armour Curry 3Z5,Under Armour,Stephen Curry,2021-06-01,Guards who want to play quick but still like impact protection.,Low Top,79.99
175,Nike Air Zoom G.T. Cut,Nike,,2021-05-01,Players that like a fast and responsive shoe.,Low Top,169.99
176,Jordan Zion 1,Jordan,Zion Williamson,2021-05-01,A very versatile shoe that will work for most players.,Mid Top,119.99
177,Nike KD Trey 5 IX,Nike,Kevin Durant,2021-05-01,"Solid pickup if you are looking for lightweight, minimal, and affordable basketball shoes.",Low Top,89.99
178,Adidas N3XT L3V3L Futurenatural,Adidas,,2021-04-01,Best for guards or wings who need a lot of responsiveness with some ankle support.,Mid Top,179.99
179,Nike KD 14,Nike,Kevin Durant,2021-04-01,A versatile shoe that works for all type of players.,Mid Top,149.99
180,Nike Precision 5,Nike,,2021-04-01,A good shoe for those who like court feel and don't need much impact protection.,Low Top,69.99
181,Puma Court Rider,Puma,,2021-04-01,Players that enjoy low to the ground shoes.,Low Top,99.99
182,Under Armour Anatomix Spawn 3,Under Armour,,2021-03-01,Great for any position or player who wants a balanced cushion setup.,Low Top,99.99
183,Nike Cosmic Unity,Nike,,2021-03-01,Best for players who need a good mix of impact protection and court feel.,Low Top,149.99
184,Nike Lebron 18 Low,Nike,Lebron James,2021-03-01,Great for forwards or centers who need a lot of impact protection.,Low Top,159.99
185,New Balance TWO WXY,New Balance,,2021-03-01,Great for players of any position who look for court feel and ankle support.,Mid Top,139.99
186,Nike PG 5,Nike,Paul George,2021-02-01,"Works best for players that prefer a minimal, lightweight, and responsive shoe no matter what position they play.",Low Top,109.99
187,Li-Ning Way of Wade 9 Infinity,Li-Ning,Dwyane Wade,2021-02-01,Players that like to take advantage of their straight-line speed.,High Top,255.0
188,Li-Ning Way of Wade 9,Li-Ning,Dwyane Wade,2021-02-01,"Recommended for most playstyles, but more so for laterally, shifty players.",Low Top,225.0
189,Adidas Harden Vol. 5,Adidas,James Harden,2021-01-01,Only recommended for players who hoop outdoors and need a responsive shoe.,Low Top,129.99
190,Nike Kobe 6 Protro,Nike,Kobe Bryant,2021-01-01,"Players who want a strong performing, balanced shoe.",Low Top,179.99
191,Adidas Harden Stepback 2,Adidas,James Harden,2021-01-01,Best for guards or wings who want court feel and don't need a lot of compression.,Low Top,79.99
192,Jordan Why Not Zero.4,Jordan,Russell Westbrook,2021-01-01,Great for players who like forefoot Zoom and don't make a lot of lateral moves.,Mid Top,129.99
193,Jordan One Take 2,Jordan,Russell Westbrook,2021-01-01,Only recommended for players who need an affordable option for primarily outdoor play.,Low Top,99.99
194,Jordan Jumpman 2021,Jordan,,2021-01-01,Best for quick players who need the cushioning to take care of their legs.,Mid Top,109.99
195,Under Armour Curry 8,Under Armour,Stephen Curry,2020-12-01,Great all around hoop shoe for guards and wings.,Low Top,159.99
196,Adidas D Rose 11,Adidas,Derrick Rose,2020-12-01,Great for wide footers or those who prefer a roomier fit.,Mid Top,139.99
197,Nike Zoom Rize 2,Nike,,2020-12-01,Works for centers as well as explosive down-the-line guards.,Mid Top,159.99
198,Puma Clyde All-Pro,Puma,,2020-12-01,Great for any position or player who likes responsive cushion and a minimal feel.,Low Top,129.99
199,Li-Ning Wade All City 9,Li-Ning,Dwyane Wade,2020-12-01,A great pick for just about any position.,Low Top,149.0
200,Nike Kyrie 7,Nike,Kyrie Irving,2020-11-01,Great for quick players like guards who are shifty and make a lot of cuts.,Mid Top,139.99
201,Nike Lebron Witness 5,Nike,Lebron James,2020-11-01,Great for players of all positions looking for a <$100 hoop shoe.,Mid Top,99.99
202,New Balance Kawhi 1,New Balance,Kawhi Leonard,2020-11-01,Best for bigger players who need a very supportive and rigid shoe.,Mid Top,159.99
203,Nike Kyrie Flytrap 4,Nike,Kyrie Irving,2020-11-01,Great for quick guards who need a cheap and responsive shoe.,Mid Top,89.99
204,Nike Lebron 18,Nike,Lebron James,2020-10-01,Great for big guys who like soft and comfortable cushioning.,High Top,199.99
205,Air Jordan 35,Jordan,Michael Jordan,2020-10-01,The perfect shoe for players of every position who want a premium experience.,High Top,179.99
206,Adidas Dame 7,Adidas,Damian Lillard,2020-10-01,A perfectly balanced shoe that fits any position or player.,Low Top,109.99
207,Nike Kyrie Low 3,Nike,Kyrie Irving,2020-09-01,Best for guards or wings who need a lot of court feel and support.,Low Top,109.99
208,Puma RS Dreamer,Puma,,2020-09-01,Great for guards or big guys that need a supportive shoe.,Low Top,124.99
209,Nike Lebron Soldier 14,Nike,Lebron James,2020-09-01,Great for big guys who like forefoot cushion and need a lot of support.,High Top,139.99
210,Under Armour Embiid 1,Under Armour,Joel Embiid,2020-09-01,Great for any position or player looking for a responsive shoe.,Mid Top,119.99
211,Nike Kybrid S2,Nike,Kyrie Irving,2020-09-01,Great for guards and smaller wings who are quick on their feet.,Mid Top,139.99
212,Adidas D.O.N Issue #2,Adidas,Donovan Mitchell,2020-08-01,Players looking for a very supportive shoe with good impact protection,Low Top,99.99
213,Nike Zoom Freak 2,Nike,Giannis Antetokounmpo,2020-08-01,A great choice for guards who prefer court feel over impact protection.,Low Top,119.99
214,Adidas N3XT L3V3L 2020,Adidas,,2020-08-01,Any type of player who wants to be light and quick on their feet,High Top,149.99
215,Nike Renew Elevate,Nike,,2020-08-01,A good choice for outdoor courts,High Top,79.99
216,Adidas Pro Boost Low,Adidas,,2020-08-01,Great for fast and quick players who need a supportive and minimal shoe.,Low Top,109.99
217,Nike Mama Fury,Nike,Kobe Bryant,2020-08-01,Best for players who like snug shoes with a lot of court feel,Low Top,99.99
218,Jordan React Elevation,Jordan,,2020-08-01,Great for any position or style of play.,High Top,119.99
219,Nike Air Zoom BB NXT,Nike,,2020-07-01,Works best for big guys looking for a lot of impact protection,Low Top,179.99
220,Under Armour HOVR Havoc 3,Under Armour,,2020-07-01,Best for quick guards who need a responsive and supportive shoe.,Low Top,109.99
221,Adidas Crazy BYW 2.0,Adidas,,2020-05-01,Great shoe if you are looking for a supportive and well-cushioned Low Top.,Low Top,159.99
222,Jordan Westbrook One Take,Jordan,Russell Westbrook,2020-05-01,Great pick for price-conscious players looking for an all-around solid performing shoe.,Mid Top,99.99
223,Converse G4 Low,Converse,,2020-05-01,Works best for players looking for a responsive and stable shoe,Low Top,109.99
224,Nike KD 13,Nike,Kevin Durant,2020-04-01,A great pick if you are looking for a comfortable shoe that will also work outdoors.,Mid Top,149.99
225,Nike KD Trey 5 VIII,Nike,Kevin Durant,2020-04-01,Best for outdoor use or those looking for a good deal,Mid Top,89.99
